CO_CODE	DIST_CODE	SCH_CODE	TOTAL
23	5850	230	22.1
23	5850	240	20.0
23	5850	260	17.0
23	5850	275	17.6
23	5850	280	23.4
23	5850	320	22.5
25	0100	010	12.6
25	0100	020	15.8
25	0100	040	13.7
25	0100	070	12.8
25	0100	100	13.7
25	0130	020	16.4
25	0180	010	16.4
25	0270	020	16.7
25	0500	020	16.1
25	0560	020	24.0
25	0945	030	19.3
25	0945	050	20.9
25	0945	060	17.0
25	1000	040	11.0
25	1260	060	19.5
25	1260	070	18.8
25	1260	080	19.3
25	1260	110	18.2
25	1440	050	21.5
25	1440	060	19.9
25	1490	050	15.6
25	1640	040	18.7
25	1640	060	16.3
25	1640	070	21.4
25	1650	010	18.4
25	1650	050	24.5
25	1650	055	23.7
25	1650	060	24.5
25	1650	070	25.1
25	1650	080	24.5
25	1660	020	19.8
25	1660	021	16.5
25	1660	023	21.4
25	1660	024	25.6
25	1660	025	22.6
25	1660	026	22.0
25	1660	030	19.9
25	1660	070	11.6
25	2105	050	21.6
25	2105	060	21.9
25	2105	070	20.8
25	2105	085	16.9
25	2105	090	20.4
25	2105	095	18.1
25	2105	100	
25	2105	105	21.5
25	2120	050	13.6
25	2160	050	20.6
25	2230	020	20.6
25	2230	030	22.3
25	2230	050	27.4
25	2230	080	20.0
25	2290	003	18.5
25	2290	005	24.5
25	2290	010	20.6
25	2290	012	23.2
25	2290	020	21.4
25	2290	025	21.2
25	2290	027	23.7
25	2290	030	17.8
25	2290	032	12.5
25	2290	035	18.4
25	2290	045	25.1
25	2290	060	18.8
25	2400	010	10.5
25	2400	030	11.6
25	2400	040	12.2
25	2400	050	14.4
25	2430	050	16.5
25	2430	060	17.9
25	2720	050	18.8
25	2720	060	17.2
25	2770	050	13.1
25	2770	060	14.8
25	2770	065	16.8
25	2770	080	17.4
25	2770	085	26.5
25	2770	090	17.6
25	2770	110	17.1
25	2770	120	4.6
25	2770	150	18.1
25	2920	050	21.3
25	2920	055	21.0
25	2920	060	21.7
25	2920	063	21.6
25	2920	075	23.7
25	2920	090	21.8
25	2920	110	22.3
25	2920	120	14.7
25	2930	050	22.4
25	2930	060	18.9
25	3030	030	23.3
25	3030	040	24.1
25	3030	043	14.5
25	3030	045	22.3
25	3030	048	23.7
25	3030	050	22.9
25	3030	060	22.3
25	3030	070	23.0
25	3040	040	23.8
25	3040	050	15.1
25	3040	053	14.8
25	3040	060	15.9
25	3040	065	20.4
25	3040	075	19.6
25	3040	080	19.4
25	3160	050	21.3
25	3160	053	31.8
25	3160	055	20.7
25	3160	057	24.6
25	3160	059	23.8
25	3160	060	19.5
25	3160	080	19.7
25	3160	090	20.6
25	3160	095	17.9
25	3160	110	20.3
25	3160	120	21.8
25	3160	130	21.2
25	3160	140	18.5
25	3160	143	16.0
25	3160	145	21.2
25	3160	150	20.2
25	3160	160	19.6
25	3200	040	19.4
25	3200	060	25.5
25	3200	080	18.9
25	3250	050	19.0
25	3260	005	
25	3270	050	16.7
25	3500	060	20.6
25	3510	050	17.8
25	3510	055	16.6
25	3510	059	12.4
25	3510	061	18.7
25	3510	063	18.6
25	3510	080	15.6
25	3510	090	18.7
25	3510	100	13.5
25	3810	030	20.0
25	3810	040	19.4
25	3810	060	17.2
25	3810	070	16.4
25	3810	080	15.2
25	3830	030	17.2
25	3830	050	18.0
25	4360	060	18.6
25	4360	075	17.2
25	4365	050	15.4
25	4520	050	9.1
25	4570	040	18.1
25	4570	050	20.4
25	4580	050	18.7
25	4690	050	14.3
25	4760	050	20.2
25	4770	050	17.5
25	4980	050	17.9
25	4990	050	19.3
25	5185	030	17.2
25	5185	050	21.3
25	5185	070	14.6
25	5230	050	19.9
25	5310	050	21.2
25	5310	060	19.8
25	5310	070	20.4
25	5420	050	19.9
25	5420	060	18.6
25	5420	070	18.5
25	5420	075	23.3
25	5420	077	20.2
25	5420	078	8.0
25	5420	080	17.9
25	5640	050	17.2
25	5640	080	16.5
27	0450	020	18.4
27	0450	025	9.8
27	0450	030	12.5
27	0450	040	15.8
27	0460	060	19.2
27	0630	020	15.4
27	0630	025	16.9
27	0630	030	20.3
27	0785	010	19.1
27	0785	030	21.8
27	0785	050	23.5
27	0785	060	17.9
27	0785	070	22.7
27	0785	080	21.6
27	0820	020	21.7
27	0820	030	20.9
27	0820	040	16.9
27	1090	050	18.2
27	1090	070	19.9
27	1090	080	23.1
27	1110	040	18.6
27	1110	050	20.4
27	1110	060	20.0
27	1110	065	20.7
27	1110	070	17.3
27	1190	030	22.3
27	1190	035	19.6
27	1190	050	22.9
27	1530	015	18.2
27	1530	020	18.1
27	1530	030	16.9
27	1990	050	19.6
27	1990	070	19.0
27	2000	025	15.6
27	2000	040	18.6
27	2000	050	18.4
27	2000	060	18.7
27	2010	050	15.3
27	2380	020	23.7
27	2380	028	26.5
27	2380	033	13.5
27	2380	040	26.6
27	2380	045	8.6
27	2380	050	12.8
27	2380	070	22.6
27	2460	050	17.2
27	2460	060	20.1
27	2460	065	20.7
27	2460	070	22.0
27	2650	035	21.7
27	2650	040	14.0
27	2870	050	20.3
27	2870	060	17.8
27	2870	080	20.9
27	2870	100	16.2
27	2870	110	19.6
27	3090	050	19.0
27	3090	060	20.2
27	3100	050	17.1
27	3100	060	22.3
27	3240	030	20.4
27	3340	010	23.3
27	3340	025	21.9
27	3340	030	21.5
27	3340	050	21.8
27	3340	055	16.3
27	3340	065	19.6
27	3340	070	19.6
27	3370	050	19.2
27	3370	060	21.5
27	3380	020	1.6
27	3380	030	11.7
27	3385	050	20.6
27	3385	060	15.8
27	3385	065	16.1
27	3385	075	16.0
27	3385	085	5.1
27	3385	090	13.2
27	3385	100	18.6
27	3385	105	19.2
27	3385	110	20.6
27	3385	115	17.7
27	3410	045	15.8
27	3410	050	19.2
27	3450	010	17.0
27	3450	040	20.1
27	3450	050	18.6
27	3450	060	18.2
27	3450	065	16.0
27	3450	070	18.1
27	3460	050	16.9
27	3460	060	20.9
27	3460	070	5.7
27	3460	080	18.6
27	3520	060	13.0
27	3950	050	18.9
27	3950	053	17.7
27	3950	055	17.3
27	3950	060	16.9
27	3950	062	17.3
27	3950	064	19.8
27	3950	065	21.9
27	3950	070	12.5
27	3950	080	20.0
27	3950	090	19.6
27	3950	100	20.2
27	3950	103	20.4
27	3950	107	15.4
27	3950	120	17.1
27	4000	030	18.2
27	4000	050	15.5
27	4000	060	22.0
27	4080	050	18.6
27	4080	055	19.3
27	4080	060	18.8
27	4080	080	21.6
27	4080	100	18.8
27	4330	050	18.0
27	4330	057	18.0
27	4330	065	16.9
27	4330	070	19.9
27	4330	075	20.5
27	4330	080	21.4
27	4440	050	15.8
27	4480	050	24.5
27	4480	060	29.7
27	4490	010	19.2
27	4490	015	21.9
27	4490	019	19.8
27	4490	025	21.4
27	4490	030	16.8
27	4490	080	19.3
27	4560	050	15.6
27	4560	055	27.8
27	4560	060	18.4
27	4560	065	18.4
27	4560	067	19.8
27	4560	080	23.2
27	4560	085	15.6
27	5520	030	21.3
27	5520	035	21.7
